z	P	S_w	S_n	Q_w	Q_n
0.99	-2954.11292289	0.277942359371	0.19873897395	0.0	0.0
0.97	-2821.53692351	0.287351569263	0.204216795814	9.6693727269e-10	2.38969867403e-09
0.95	-2709.38836159	0.291177409701	0.212108002458	1.68082929529e-09	5.09685196162e-09
0.93	-2613.52968525	0.293346089858	0.220080676366	2.23177910065e-09	8.03129790968e-09
0.91	-2530.7869283	0.294798882965	0.227658133497	2.67698440731e-09	1.11196633352e-08
0.89	-2458.77719491	0.295853217962	0.234734665375	3.04695590762e-09	1.43081999393e-08
0.87	-2395.69312059	0.296648883501	0.241299288565	3.35904543549e-09	1.75549560477e-08
0.85	-2340.14056058	0.297262993567	0.247367057085	3.62470472976e-09	2.08248293653e-08
0.83	-2291.02538643	0.297744738321	0.252960212869	3.85248851805e-09	2.40872353601e-08
0.81	-2247.47491873	0.298127882279	0.258102705347	4.0491678774e-09	2.73150841765e-08
0.79	-2208.78255444	0.298436410792	0.262818466801	4.22018275921e-09	3.0484288398e-08
0.77	-2174.36796608	0.29868768168	0.267130822988	4.36989981399e-09	3.35734782525e-08
0.75	-2143.74795348	0.298894425131	0.271062305327	4.50181138363e-09	3.65638144752e-08
0.73	-2116.51474392	0.299066088759	0.274634636477	4.61870408025e-09	3.94388633913e-08
0.71	-2092.3196093	0.299209764897	0.277868799439	4.72280047456e-09	4.2184518169e-08
0.69	-2070.860352	0.299330838552	0.28078514389	4.81587525787e-09	4.47889532876e-08
0.67	-2051.87165514	0.299433445171	0.28340350213	4.89934871787e-09	4.72425991393e-08
0.65	-2035.11758743	0.29952079772	0.285743297759	4.97436119301e-09	4.95381235971e-08
0.63	-2020.38574954	0.299595423357	0.287823637652	5.04183210014e-09	5.16704077703e-08
0.61	-2007.48268001	0.299659337161	0.28966338342	5.10250658531e-09	5.36365039305e-08
0.59	-1996.23022392	0.299714171944	0.291281203401	5.15699214837e-09	5.54355646328e-08
0.57	-1986.46261899	0.299761277554	0.29269561078	5.20578689649e-09	5.70687333214e-08
0.55	-1978.02407893	0.299801799471	0.293924998298	5.24930044623e-09	5.8538988159e-08
0.53	-1970.76665728	0.29983674432	0.294987685507	5.2878679267e-09	5.98509323555e-08
0.51	-1964.54815911	0.299867038681	0.295902001066	5.32175702332e-09	6.10105257464e-08
0.49	-1959.22983242	0.299893587284	0.296686430598	5.35116752017e-09	6.20247535692e-08
0.47	-1954.67351608	0.29991733698	0.297359870541	5.37622232231e-09	6.29012290248e-08
0.45	-1950.73784329	0.299939353906	0.297942041027	5.39694844373e-09	6.36477260174e-08
0.43	-1947.27299716	0.299960922953	0.29845412675	5.41324591383e-09	6.42716371645e-08
0.41	-1944.1133848	0.299983680924	0.298919735078	5.42484198766e-09	6.4779349587e-08
0.39	-1941.0674402	0.30000979759	0.299366286308	5.43122748936e-09	6.51755271081e-08
0.37	-1937.90359283	0.3000422217	0.299826982606	5.43157170783e-09	6.54622825227e-08
0.35	-1934.33127622	0.300085010953	0.300343539976	5.42461229715e-09	6.56382181289e-08
0.33	-1929.97576221	0.300143763708	0.300969909557	5.40851769502e-09	6.56973078597e-08
0.31	-1924.34572117	0.300226161519	0.301777255273	5.38072272184e-09	6.56275920383e-08
0.29	-1916.79296121	0.300342607435	0.302860481755	5.33774504782e-09	6.54096592266e-08
0.27	-1906.46518783	0.300506892174	0.304346594852	5.27500388816e-09	6.5014903956e-08
0.25	-1892.25543486	0.300736718865	0.306405082319	5.18668638657e-09	6.44035822495e-08
0.23	-1872.75675746	0.301053743861	0.309260249976	5.06574564466e-09	6.35227502339e-08
0.21	-1846.23831799	0.301482533219	0.313204927249	4.90416843252e-09	6.23042797317e-08
0.19	-1810.66844813	0.302047528851	0.318614020823	4.69371133892e-09	6.06633141079e-08
0.17	-1763.81808901	0.302766930163	0.325954910251	4.42733852425e-09	5.84977653039e-08
0.15	-1703.47594436	0.303642725285	0.335789628076	4.10152705925e-09	5.56897400053e-08
0.13	-1627.78241345	0.304647598588	0.348761459695	3.7193150721e-09	5.21100471053e-08
0.11	-1535.63464343	0.305712605989	0.365556927271	3.29334484842e-09	4.76270349455e-08
0.09	-1427.04318401	0.306723537545	0.386834683664	2.84729760219e-09	4.21207402967e-08
0.07	-1303.2796787	0.307535156156	0.413117613797	2.41363340936e-09	3.55025474127e-08
0.05	-1166.70413374	0.308005508258	0.444654567046	2.02653434824e-09	2.77392678532e-08
0.03	-1020.30374249	0.308036455253	0.48127117261	1.71193349846e-09	1.88791026517e-08
0.01	-867.122706707	0.325488348862	0.504729496642	1.47968051943e-09	9.07645872536e-09
